"";"a";"b"
"1";"ABELARDO_CAMARINHA";"141463"
"2";"ABELARDO_LUPION";"73764"
"3";"ACELINO_POPO";"161907"
"4";"ADEMIR_CAMILO";"133374"
"5";"ADRIAN";"160577"
"6";"AELTON_FREITAS";"141372"
"7";"AFONSO_FLORENCE";"160508"
"8";"AFONSO_HAMM";"136811"
"9";"AFONSO_MOTTA";"178835"
"10";"AGUINALDO_RIBEIRO";"160527"
"11";"AKIRA_OTSUBO";"173269"
"12";"ALBERTO_FILHO";"160582"
"13";"ALBERTO_MOURAO";"74696"
"14";"ALCEU_MOREIRA";"160559"
"15";"ALDO_REBELO";"73428"
"16";"ALESSANDRO_MOLON";"160511"
"17";"ALEX_CANZIANI";"73458"
"18";"ALEXANDRE_CARDOSO";"74829"
"19";"ALEXANDRE_LEITE";"160545"
"20";"ALEXANDRE_ROSO";"160579"
"21";"ALEXANDRE_SANTOS";"74830"
"22";"ALEXANDRE_SILVEIRA";"141374"
"23";"ALEXANDRE_TOLEDO";"169712"
"24";"ALFREDO_KAEFER";"141454"
"25";"ALFREDO_SIRKIS";"116663"
"26";"ALICE_PORTUGAL";"74057"
"27";"ALINE_CORREA";"141375"
"28";"ALMEIDA_LIMA";"160626"
"29";"AMAURI_TEIXEIRA";"160603"
"30";"AMIR_LANDO";"174861"
"31";"ANA_ARRAES";"141377"
"32";"ANDERSON_FERREIRA";"160551"
"33";"ANDRE_DE_PAULA";"74471"
"34";"ANDRE_DIAS";"161905"
"35";"ANDRE_FIGUEIREDO";"133439"
"36";"ANDRE_MOURA";"160543"
"37";"ANDRE_VARGAS";"141378"
"38";"ANDRE_ZACHAROW";"74377"
"39";"ANDREIA_ZITO";"141379"
"40";"ANGELO_AGNOLIN";"160638"
"41";"ANGELO_VANHONI";"141381"
"42";"ANIBAL_GOMES";"74212"
"43";"ANSELMO_DE_JESUS";"73937"
"44";"ANTHONY_GAROTINHO";"160539"
"45";"ANTONIA_LUCIA";"123756"
"46";"ANTONIO_ANDRADE";"141387"
"47";"ANTONIO_BALHMANN";"74213"
"48";"ANTONIO_BRITO";"160553"
"49";"ANTONIO_BULHOES";"141383"
"50";"ANTONIO_CARLOS_MAGALHAES_NETO";"74058"
"51";"ANTONIO_CARLOS_MENDES_THAME";"73584"
"52";"ANTONIO_IMBASSAHY";"160530"
"53";"ANTONIO_ROBERTO";"141390"
"54";"ARACELY_DE_PAULA";"74648"
"55";"ARIOSTO_HOLANDA";"74103"
"56";"ARLINDO_CHINAGLIA";"73433"
"57";"ARMANDO_ABILIO";"74405"
"58";"ARMANDO_VERGILIO";"160546"
"59";"ARNALDO_FARIA_DE_SA";"73434"
"60";"ARNALDO_JARDIM";"141391"
"61";"ARNALDO_JORDY";"160602"
"62";"ARNON_BEZERRA";"74291"
"63";"AROLDE_DE_OLIVEIRA";"74833"
"64";"ARTHUR_LIRA";"160541"
"65";"ARTHUR_OLIVEIRA_MAIA";"160600"
"66";"ARTUR_BRUNO";"160678"
"67";"ASDRUBAL_BENTES";"74222"
"68";"ASSIS_CARVALHO";"159237"
"69";"ASSIS_DO_COUTO";"74378"
"70";"ASSIS_MELO";"160581"
"71";"ATILA_LINS";"74090"
"72";"ATILA_LIRA";"74459"
"73";"AUDIFAX";"160680"
"74";"AUGUSTO_CARVALHO";"73655"
"75";"AUGUSTO_COUTINHO";"160665"
"76";"AUREO";"160512"
"77";"BEBETO_GALVAO";"178834"
"78";"BENEDITA_DA_SILVA";"73701"
"79";"BENJAMIN_MARANHAO";"74040"
"80";"BERINHO_BANTIM";"160554"
"81";"BERNARDO_SANTANA_DE_VASCONCELLOS";"109152"
"82";"BETINHO_ROSADO";"74321"
"83";"BETO_ALBUQUERQUE";"73478"
"84";"BETO_FARO";"141335"
"85";"BETO_MANSUR";"73437"
"86";"BIFFI";"74373"
"87";"BILAC_PINTO";"141513"
"88";"BOHN_GASS";"160538"
"89";"BONIFACIO_DE_ANDRADA";"74650"
"90";"BRIZOLA_NETO";"141399"
"91";"BRUNA_FURLAN";"160589"
"92";"BRUNO_ARAUJO";"141394"
"93";"BRUNO_RODRIGUES";"141393"
"94";"CABO_JULIANO_RABELO";"168034"
"95";"CAMILO_COLA";"141395"
"96";"CANDIDO_VACCAREZZA";"141396"
"97";"CARLAILE_PEDROSA";"160585"
"98";"CARLINHOS_ALMEIDA";"160584"
"99";"CARLOS_ALBERTO_LEREIA";"74290"
"100";"CARLOS_BEZERRA";"141401"
"101";"CARLOS_BRANDAO";"141402"
"102";"CARLOS_EDUARDO_CADOCA";"74474"
"103";"CARLOS_MAGNO";"160605"
"104";"CARLOS_MANATO";"74163"
"105";"CARLOS_MARTINS";"179381"
"106";"CARLOS_MELLES";"74651"
"107";"CARLOS_ROBERTO";"165583"
"108";"CARLOS_SAMPAIO";"74262"
"109";"CARLOS_SOUZA";"73934"
"110";"CARLOS_ZARATTINI";"141398"
"111";"CARMEN_ZANOTTO";"164360"
"112";"CELIA_ROCHA";"160624"
"113";"CELSO_JACOB";"73568"
"114";"CELSO_MALDANER";"141405"
"115";"CESAR_COLNAGO";"160664"
"116";"CESAR_HALUM";"160576"
"117";"CEZAR_SILVESTRI";"74379"
"118";"CHICO_ALENCAR";"74171"
"119";"CHICO_DANGELO";"141439"
"120";"CHICO_DAS_VERDURAS";"160634"
"121";"CHICO_LOPES";"141440"
"122";"CIDA_BORGHETTI";"160580"
"123";"CLAUDIO_CAJADO";"74537"
"124";"CLAUDIO_PUTY";"160557"
"125";"CLEBER_VERDE";"141408"
"126";"COLBERT_MARTINS";"74230"
"127";"COSTA_FERREIRA";"74016"
"128";"CRISTIANO";"114586"
"129";"DALVA_FIGUEIREDO";"141502"
"130";"DAMIAO_FELICIANO";"74467"
"131";"DANIEL_ALMEIDA";"74060"
"132";"DANILO_CABRAL";"160528"
"133";"DANILO_FORTE";"62881"
"134";"DANRLEI_DE_DEUS_HINTERHOLZ";"160552"
"135";"DARCISIO_PERONDI";"73891"
"136";"DAVI_ALCOLUMBRE";"73924"
"137";"DAVI_ALVES_SILVA_JUNIOR";"141412"
"138";"DECIO_LIMA";"141413"
"139";"DELEGADO_PROTOGENES";"160606"
"140";"DELEGADO_WALDIR";"164359"
"141";"DELEY";"74172"
"142";"DENILSON_TEIXEIRA";"174854"
"143";"DEVANIR_RIBEIRO";"74264"
"144";"DIEGO_ANDRADE";"160588"
"145";"DILCEU_SPERAFICO";"73768"
"146";"DIMAS_FABIANO";"160599"
"147";"DIMAS_RAMALHO";"74265"
"148";"DOMINGOS_DUTRA";"74197"
"149";"DOMINGOS_NETO";"143632"
"150";"DOMINGOS_SAVIO";"160758"
"151";"DR._ADILSON_SOARES";"141371"
"152";"DR._ALUIZIO";"160529"
"153";"DR._CARLOS_ALBERTO";"118384"
"154";"DR._DILSON_DRUMOND";"170489"
"155";"DR._GRILO";"160514"
"156";"DR._JORGE_SILVA";"160643"
"157";"DR._LUIZ_FERNANDO";"74094"
"158";"DR._PAULO_CESAR";"147975"
"159";"DR._ROSINHA";"73459"
"160";"DR._SINVAL_MALHEIROS";"178830"
"161";"DR._UBIALI";"141498"
"162";"DRA._ELAINE_ABISSAMRA";"166727"
"163";"DUARTE_NOGUEIRA";"141385"
"164";"DUDIMAR_PAXIUBA";"161904"
"165";"DUDU_LUIZ_EDUARDO";"177118"
"166";"EDINHO_ARAUJO";"73447"
"167";"EDINHO_BEZ";"73793"
"168";"EDIO_LOPES";"141417"
"169";"EDIVALDO_HOLANDA_JUNIOR";"160616"
"170";"EDMAR_ARRUDA";"160578"
"171";"EDMAR_MOREIRA";"74580"
"172";"EDSON_APARECIDO";"141418"
"173";"EDSON_EZEQUIEL";"74838"
"174";"EDSON_PIMENTA";"160618"
"175";"EDSON_SANTOS";"141419"
"176";"EDSON_SILVA";"74106"
"177";"EDUARDO_AZEREDO";"160647"
"178";"EDUARDO_BARBOSA";"74655"
"179";"EDUARDO_CUNHA";"74173"
"180";"EDUARDO_DA_FONTE";"141421"
"181";"EDUARDO_GOMES";"73945"
"182";"EDUARDO_SCIARRA";"74382"
"183";"EFRAIM_FILHO";"141422"
"184";"ELCIONE_BARBALHO";"74075"
"185";"ELEUSES_PAIVA";"154919"
"186";"ELI_CORREA_FILHO";"160532"
"187";"ELIANE_ROLIM";"162175"
"188";"ELIENE_LIMA";"141423"
"189";"ELISEU_PADILHA";"73892"
"190";"EMANUEL_FERNANDES";"74119"
"191";"EMILIANO_JOSE";"154997"
"192";"ENIO_BACCI";"73893"
"193";"ERIKA_KOKAY";"160575"
"194";"ERIVELTON_SANTANA";"99654"
"195";"ERON_BEZERRA";"171782"
"196";"EROS_BIONDINI";"160640"
"197";"ESPERIDIAO_AMIN";"160649"
"198";"EUDES_XAVIER";"141386"
"199";"EURICO_JUNIOR";"171621"
"200";"EVANDRO_MILHOMEN";"74345"
"201";"FABIO_FARIA";"141428"
"202";"FABIO_RAMALHO";"141427"
"203";"FABIO_REIS";"171623"
"204";"FABIO_SOUTO";"74062"
"205";"FABIO_TRAD";"160587"
"206";"FATIMA_BEZERRA";"74037"
"207";"FATIMA_PELAES";"74065"
"208";"FELIPE_BORNIER";"141430"
"209";"FELIPE_MAIA";"141429"
"210";"FELIX_MENDONCA_JUNIOR";"160666"
"211";"FERNANDO_COELHO_FILHO";"141431"
"212";"FERNANDO_FERRO";"74417"
"213";"FERNANDO_FRANCISCHINI";"160646"
"214";"FERNANDO_JORDAO";"163831"
"215";"FERNANDO_LOPES";"74843"
"216";"FERNANDO_MARRONI";"73481"
"217";"FERNANDO_TORRES";"160676"
"218";"FERNANDO_ZACHIA";"179383"
"219";"FILIPE_PEREIRA";"141433"
"220";"FLAVIA_MORAIS";"160598"
"221";"FLAVIANO_MELO";"141434"
"222";"FRANCISCO_ARAUJO";"165675"
"223";"FRANCISCO_CHAGAS";"172029"
"224";"FRANCISCO_DE_ASSIS";"178387"
"225";"FRANCISCO_ESCORCIO";"137983"
"226";"FRANCISCO_FLORIANO";"160677"
"227";"FRANCISCO_PRACIANO";"141438"
"228";"FRANCISCO_TENORIO";"141467"
"229";"GABRIEL_CHALITA";"160537"
"230";"GABRIEL_GUIMARAES";"129037"
"231";"GASTAO_VIEIRA";"74200"
"232";"GEAN_LOUREIRO";"165429"
"233";"GENECIAS_NORONHA";"160669"
"234";"GEORGE_HILTON";"141441"
"235";"GERA_ARRUDA";"145895"
"236";"GERALDO_RESENDE";"74374"
"237";"GERALDO_SIMOES";"74566"
"238";"GERALDO_THADEU";"74151"
"239";"GIACOBO";"74383"
"240";"GILBERTO_COUTINHO";"179380"
"241";"GILMAR_MACHADO";"74581"
"242";"GIOVANI_CHERINI";"160673"
"243";"GIOVANNI_QUEIROZ";"74077"
"244";"GIROTO";"160562"
"245";"GIVALDO_CARIMBAO";"74558"
"246";"GLADSON_CAMELI";"141446"
"247";"GLAUBER_BRAGA";"152605"
"248";"GOIACIARA_CRUZ";"173802"
"249";"GONZAGA_PATRIOTA";"74419"
"250";"GORETE_PEREIRA";"129618"
"251";"GUILHERME_CAMPOS";"141447"
"252";"GUILHERME_MUSSI";"160667"
"253";"GUSTAVO_PETTA";"176120"
"254";"HELCIO_SILVA";"175737"
"255";"HELENO_SILVA";"74053"
"256";"HELIO_SANTOS";"160590"
"257";"HENRIQUE_AFONSO";"73940"
"258";"HENRIQUE_EDUARDO_ALVES";"74324"
"259";"HENRIQUE_FONTANA";"73482"
"260";"HENRIQUE_OLIVEIRA";"68731"
"261";"HERMES_PARCIANELLO";"73772"
"262";"HEULER_CRUVINEL";"160596"
"263";"HOMERO_PEREIRA";"141448"
"264";"HUGO_LEAL";"141450"
"265";"HUGO_MOTTA";"160674"
"266";"HUGO_NAPOLEAO";"160974"
"267";"HUMBERTO_MICHILES";"73935"
"268";"HUMBERTO_SOUTO";"74662"
"269";"IARA_BERNARDI";"74780"
"270";"ILARIO_MARQUES";"173262"
"271";"INOCENCIO_OLIVEIRA";"74421"
"272";"IRACEMA_PORTELLA";"67138"
"273";"IRAJA_ABREU";"81232"
"274";"IRINY_LOPES";"74162"
"275";"IRIS_DE_ARAUJO";"141453"
"276";"ISAIAS_SILVESTRE";"74152"
"277";"IVAN_VALENTE";"73531"
"278";"IZALCI";"4931"
"279";"JAIME_MARTINS";"74665"
"280";"JAIR_BOLSONARO";"74847"
"281";"JAIRO_ATAIDE";"3151"
"282";"JANDIRA_FEGHALI";"74848"
"283";"JANETE_CAPIBERIBE";"73926"
"284";"JANETE_ROCHA_PIETA";"141455"
"285";"JANIO_NATAL";"160675"
"286";"JAQUELINE_RORIZ";"97822"
"287";"JEAN_WYLLYS";"160672"
"288";"JEFFERSON_CAMPOS";"74273"
"289";"JERONIMO_GOERGEN";"160570"
"290";"JESUS_RODRIGUES";"160671"
"291";"JHONATAN_DE_JESUS";"160531"
"292";"JILMAR_TATTO";"141456"
"293";"JO_MORAES";"141503"
"294";"JOAO_ANANIAS";"160574"
"295";"JOAO_ARRUDA";"160573"
"296";"JOAO_BITTAR";"141457"
"297";"JOAO_CALDAS";"74559"
"298";"JOAO_CAMPOS";"74366"
"299";"JOAO_CARLOS_BACELAR";"141458"
"300";"JOAO_DADO";"73682"
"301";"JOAO_LEAO";"74550"
"302";"JOAO_LYRA";"74049"
"303";"JOAO_MAGALHAES";"74120"
"304";"JOAO_MAIA";"141459"
"305";"JOAO_PAULO_CUNHA";"73534"
"306";"JOAO_PAULO_LIMA";"160549"
"307";"JOAO_PIZZOLATTI";"73874"
"308";"JOAO_RODRIGUES";"160571"
"309";"JOAQUIM_BELTRAO";"141461"
"310";"JONAS_DONIZETTE";"160548"
"311";"JORGE_BITTAR";"74686"
"312";"JORGE_BOEIRA";"74388"
"313";"JORGE_CORTE_REAL";"160572"
"314";"JORGE_PINHEIRO";"73569"
"315";"JORGE_TADEU_MUDALEN";"73535"
"316";"JORGINHO_MELLO";"160509"
"317";"JOSE_AIRTON";"141464"
"318";"JOSE_ANIBAL";"73536"
"319";"JOSE_AUGUSTO_MAIA";"160661"
"320";"JOSE_CARLOS_ARAUJO";"74140"
"321";"JOSE_CARLOS_VIEIRA";"73875"
"322";"JOSE_CHAVES";"74423"
"323";"JOSE_DE_FILIPPI";"160560"
"324";"JOSE_GENOINO";"73540"
"325";"JOSE_GUIMARAES";"141470"
"326";"JOSE_HUMBERTO";"160396"
"327";"JOSE_LINHARES";"74297"
"328";"JOSE_MENTOR";"74275"
"329";"JOSE_NUNES";"160619"
"330";"JOSE_OTAVIO_GERMANO";"74395"
"331";"JOSE_PRIANTE";"74079"
"332";"JOSE_ROCHA";"74554"
"333";"JOSE_STEDILE";"160607"
"334";"JOSEPH_BANDEIRA";"4929"
"335";"JOSIAS_GOMES";"74141"
"336";"JOSUE_BENGTSON";"74351"
